label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1397,59.553818400481056,420.32952495490076,95.27961515333735,2556.0,1.6107746244280539,12454.140709561034,Vsx1i_1,Vsx1 NE RNAi,884,0.8169151991302954,-0.06699722914053441,15.39933414911301,0.819657898932597,-0.08182933029232449,75
1398,60.729166666666664,432.6574074074074,89.71180555555556,1834.0,1.4902792224617274,10101.652777777777,Vsx1i_1,Vsx1 NE RNAi,884,0.828074553993789,-0.0377232460059298,16.544184373601844,0.8289333569480942,-0.04552389961120631,75
1399,57.307781649245065,647.4808362369338,190.5876887340302,1251.0,1.6838168083390976,14151.40650406504,Vsx1i_1,Vsx1 NE RNAi,884,0.5089297267987982,0.42576159852232154,18.942282681980778,0.6635377951524555,0.6966526346300689,75
1400,57.22595704948646,733.8496732026143,268.8375350140056,1357.0,1.6972107089068966,10861.986928104576,Vsx1i_1,Vsx1 NE RNAi,884,0.28329773982076656,0.6031054190493148,22.406371576215257,0.6663285645041823,1.1316552099042583,75
1401,58.14010989010989,741.5494505494505,353.07142857142856,1314.0,1.3141901664322464,11852.707875457876,Vsx1i_1,Vsx1 NE RNAi,884,0.06355885396530003,0.6005063732249862,26.109980632654747,0.6038606065982519,1.465346827804447,75
1402,58.74812593703148,749.7826086956521,263.8740629685157,1673.0,1.6406160180393858,17131.24062968516,Vsx1i_1,Vsx1 NE RNAi,884,0.2919498433341743,0.6404085061085145,23.96061013981562,0.7038165710744443,1.1430628278145658,75
1403,61.79651162790697,146.3016795865633,285.84496124031006,2041.0,1.53198147472162,12660.82558139535,Vsx1i_1,Vsx1 NE RNAi,884,0.39862686598098573,-0.7341695464198867,20.442422203758746,0.8354090621798431,-1.0733718869719036,75
1404,60.391666666666666,165.92395833333333,354.38645833333334,1398.0,1.607387883212623,8249.263541666667,Vsx1i_1,Vsx1 NE RNAi,884,0.2160271083438856,-0.7059353804962603,21.469498897660593,0.738249600728521,-1.273829980623594,75
1405,60.397074756229685,172.61592632719393,316.6960996749729,2493.0,1.5734847114366388,16777.586132177683,Vsx1i_1,Vsx1 NE RNAi,884,0.31164315721050073,-0.6817794242129702,20.348618067100055,0.7496296690475225,-1.142051586441709,75
1406,61.5643259866735,174.54946181445413,437.8493080471553,2651.0,1.4365062283194636,24151.994874423373,Vsx1i_1,Vsx1 NE RNAi,884,-0.0019468190678513242,-0.7062555213446693,25.417922938235584,0.7062582045784059,-1.5735528562351244,75
1407,61.45580978017048,243.59802602063706,285.81247196052044,2704.0,1.3734616740264696,22053.87483176312,Vsx1i_1,Vsx1 NE RNAi,884,0.3723684440886641,-0.513391361793645,21.2727159197535,0.6342152225525227,-0.9432842600614367,75
1408,60.03521126760563,329.960947503201,255.06722151088348,2043.0,1.5768976716665402,11072.696542893726,Vsx1i_1,Vsx1 NE RNAi,884,0.42836299488472607,-0.3100885361303557,19.908609054516567,0.5288192088285738,-0.626581536340034,75
1409,58.71067106710671,383.0495049504951,157.6072607260726,1247.0,1.7715656769368051,8938.358635863586,Vsx1i_1,Vsx1 NE RNAi,884,0.6658147102429186,-0.1664052801319864,16.103474939152242,0.6862943578608719,-0.24491024874749412,75
1410,59.070893371757926,408.23631123919307,113.8599423631124,2438.0,1.5227926296951289,16508.949279538905,Vsx1i_1,Vsx1 NE RNAi,884,0.7721160747366338,-0.09885000498232155,15.366002284559166,0.7784179830603298,-0.1273321406672762,75
1411,59.447276940903826,585.2027809965238,49.95249130938586,2311.0,1.6273127477620788,13523.23348783314,Vsx1i_1,Vsx1 NE RNAi,884,0.8894828410940931,0.3178894650295956,15.82716652878748,0.9445810905251185,0.3432403098898845,75
1412,60.216459197786996,607.5560165975104,148.19571230982018,1979.0,1.4945096956745485,22035.026970954357,Vsx1i_1,Vsx1 NE RNAi,884,0.6295560071052293,0.34520683370140604,20.010968973014165,0.7179892228414224,0.501563073838845,75
1413,59.62139654067905,615.4708520179372,93.95003203074953,1934.0,1.3826633586113313,25568.465727098013,Vsx1i_1,Vsx1 NE RNAi,884,0.7675833142800688,0.3760902504489092,17.774578799789914,0.8547678169210035,0.4555887865020194,75
1414,58.871517027863774,632.1594427244582,50.18575851393189,905.0,1.664917872054314,11011.486068111455,Vsx1i_1,Vsx1 NE RNAi,884,0.8761312296440009,0.424389144505009,15.824758785470003,0.9735050475119287,0.45108174825997055,75
1415,59.824742268041234,662.6099656357388,170.85223367697594,913.0,1.5394411909312715,8702.187285223368,Vsx1i_1,Vsx1 NE RNAi,884,0.5560687734971199,0.4647376859294068,21.008035639506183,0.7247024200191491,0.6961662087542273,75
1416,59.96032934131737,712.6182634730538,246.562874251497,1692.0,1.6582433720785144,16151.28368263473,Vsx1i_1,Vsx1 NE RNAi,884,0.34685250311602833,0.5601802352873286,24.170174920310437,0.6588691485601836,1.016392995812025,75
1417,60.71791352093342,779.6801647220316,255.2841455044612,1791.0,1.308841938889181,21274.033630748112,Vsx1i_1,Vsx1 NE RNAi,884,0.30623780621452945,0.7102515179064071,26.0142726757283,0.7734589922183612,1.1637128545750448,75
1418,60.65801526717557,123.02595419847329,598.142748091603,1495.0,1.3970904349301274,15431.474809160305,Vsx1i_1,Vsx1 NE RNAi,884,-0.4024313596016834,-0.8613010860924679,29.024353621937827,0.950678999502421,-2.00789136536716,75
1419,62.055845511482254,222.49008350730688,343.82776617954073,2377.0,1.4154220306877854,17832.037578288102,Vsx1i_1,Vsx1 NE RNAi,884,0.22816551114226424,-0.5751071570979167,23.47588546049358,0.6187145889827219,-1.1931072092526067,75
1420,60.45114595898673,270.7086851628468,265.54825090470445,2087.0,1.5208096992825626,13595.259348612786,Vsx1i_1,Vsx1 NE RNAi,884,0.41733084033616397,-0.44703408383645493,19.946279728634146,0.6115590751572471,-0.8197488858191446,75
1421,62.62571428571429,332.19380952380953,86.6347619047619,4046.0,1.5469298981734467,8682.558571428572,Vsx1i_1,Vsx1 NE RNAi,884,0.8633612563024806,-0.26497832847135216,17.131108906659144,0.9031091702799111,-0.29778849272775165,75
1422,59.04056795131846,477.4949290060852,104.91480730223124,922.0,1.58107940681595,11889.468559837727,Vsx1i_1,Vsx1 NE RNAi,884,0.7765051615420671,0.060426571712247634,15.883412530428352,0.7788527694438577,0.07766212011887447,75
1423,60.50666666666667,521.5,22.085333333333335,1078.0,1.5484371491913091,12904.098666666667,Vsx1i_1,Vsx1 NE RNAi,884,0.9788354743120544,0.1799617779159317,15.226365449094224,0.9952412407463669,0.18182243626481487,75
1424,60.84320875113947,516.9051959890611,108.6982680036463,1590.0,1.7483264228852056,14299.71194165907,Vsx1i_1,Vsx1 NE RNAi,884,0.7562222909699718,0.1489116021786281,18.280805347089036,0.7707443276620846,0.19442757578016626,75
1425,61.0979125248509,566.4522862823062,72.85288270377734,2445.0,1.3250270361469516,20141.0745526839,Vsx1i_1,Vsx1 NE RNAi,884,0.8355008979922789,0.2698609854253373,17.984298971587428,0.8780015387233889,0.3124156142139907,75
1426,59.011600928074245,600.8886310904873,160.41299303944317,660.0,1.4366802715390046,11332.883990719258,Vsx1i_1,Vsx1 NE RNAi,884,0.5996751308234347,0.32719411116112873,19.11772385692128,0.6831297452948631,0.49947341439390264,75
1427,60.01957585644372,599.7879282218597,36.99021207177814,911.0,1.3841835825038376,10204.384991843393,Vsx1i_1,Vsx1 NE RNAi,884,0.9190937058199253,0.3540572695538633,16.159728423747005,0.9849313631932636,0.3677042104642981,75
1428,59.27040816326531,609.0102040816327,185.07397959183675,552.0,1.5520488503452647,10552.18112244898,Vsx1i_1,Vsx1 NE RNAi,884,0.5337550875373154,0.33974622657678033,20.263865726081697,0.6327100378096812,0.5668410880943129,75
1429,60.079578139980825,608.7948226270374,55.31927133269415,1494.0,1.676620830870673,12870.194630872484,Vsx1i_1,Vsx1 NE RNAi,884,0.8692844474610111,0.3701293844362348,16.915089743924803,0.944802207777237,0.40253643859361493,75
1430,61.73127291775799,673.8150864326873,87.28548978522787,3156.0,1.450068825628408,13370.720796228392,Vsx1i_1,Vsx1 NE RNAi,884,0.7692132620180068,0.5100171920222323,20.372512185931903,0.922933680511566,0.5854858516485549,75
1431,62.097862767154105,748.2643419572554,211.05230596175477,2155.0,1.4319030508728752,24126.071991001125,Vsx1i_1,Vsx1 NE RNAi,884,0.4291871420324791,0.6494716368673774,25.598693539759374,0.7784696589984724,0.9868488141220113,75
1432,63.94805802526907,100.20121665886757,359.6462330369677,2664.0,1.5157573167274576,16615.959756668228,Vsx1i_1,Vsx1 NE RNAi,884,0.22051153383233646,-0.8563813458652534,24.400667589462678,0.8843157502267346,-1.3187786878780958,75
1433,64.59488692232055,140.36430678466076,272.27974434611605,2578.0,1.3183962251694035,12839.20894788594,Vsx1i_1,Vsx1 NE RNAi,884,0.43553803785582845,-0.7444673489190545,22.733277635861477,0.8625108787869695,-1.0414546000199634,75
1434,63.01588089330025,157.7910669975186,301.2104218362283,2915.0,1.6181725152274373,12020.8476426799,Vsx1i_1,Vsx1 NE RNAi,884,0.35590660445202715,-0.7117820786742948,22.29147351553849,0.7958035175936782,-1.1071312236995403,75
1435,61.14306893995552,201.22535211267606,350.4381022979985,1612.0,1.5858124047404236,12097.531504818384,Vsx1i_1,Vsx1 NE RNAi,884,0.2167508477371396,-0.6249120445126357,22.519200650322624,0.6614347990329289,-1.2369303449262623,75
1436,62.79892280071813,205.9968581687612,547.2508976660682,2882.0,1.532220994896313,15481.580341113106,Vsx1i_1,Vsx1 NE RNAi,884,-0.29313617859541785,-0.6609690589573416,30.533699858315337,0.7230552649006011,-1.9882271700628031,75
1437,61.72469252601703,241.68306527909178,201.26490066225165,1328.0,1.3410242422720904,8529.144749290444,Vsx1i_1,Vsx1 NE RNAi,884,0.5914555249262055,-0.4976153219986572,18.811077938803074,0.7729428482453023,-0.6994450830469894,75
1438,61.178719008264466,235.24586776859505,329.81301652892563,1268.0,1.4177905724790976,8589.431818181818,Vsx1i_1,Vsx1 NE RNAi,884,0.26086686807321136,-0.542811029683134,22.30413638033246,0.6022419254784496,-1.1228009610602292,75
1439,60.10197869101979,241.79299847792998,354.25266362252665,994.0,1.3978289898654157,7902.724505327245,Vsx1i_1,Vsx1 NE RNAi,884,0.19582979711686188,-0.5337522748345301,22.089462404188048,0.5685426987745662,-1.2191523281437027,75
1440,61.74809160305343,465.09860050890586,64.87722646310432,2029.0,1.4785250903943004,11384.594147582697,Vsx1i_1,Vsx1 NE RNAi,884,0.8835834001973648,0.041776986475962063,17.15800576587346,0.8845704843048683,0.04724613094821461,75
1441,60.99818181818182,496.7290909090909,62.50727272727273,1377.0,1.5878190312778149,14820.120909090909,Vsx1i_1,Vsx1 NE RNAi,884,0.8810906836906007,0.11412497174086811,16.713604008536045,0.8884510690303795,0.1288097684414518,75
1442,62.65466448445172,493.59956355701036,48.44026186579378,2496.0,1.675755443886361,13854.104200763775,Vsx1i_1,Vsx1 NE RNAi,884,0.9184412837948315,0.11034008733541212,17.88098496006949,0.9250455808509571,0.11956538166133562,75
1443,61.258655804480654,525.4501018329939,38.76782077393075,669.0,1.3746368349397005,10128.975560081466,Vsx1i_1,Vsx1 NE RNAi,884,0.9347095577793834,0.1849384365837401,16.55967967042445,0.9528295664651515,0.19533373231745335,75
1444,61.27880386983289,530.6138962181178,95.99472295514512,1451.0,1.6242554955862794,13871.80914687775,Vsx1i_1,Vsx1 NE RNAi,884,0.7853896180098481,0.18303186783482772,18.474472479791466,0.806435066648742,0.2289593689753015,75
