label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
155,40.48780487804878,442.7771618625277,283.56430155210643,1167.0,1.291733477298195,11438.99667405765,7072.628603104213,5027.792682926829,Bi_3,Bi OE,0.5194863294473258,0.07602704609367539,-15.46932009196837,85,True,17500,30000
156,41.03344120819849,580.5415318230852,203.83279395900755,1157.0,1.216574201687705,13052.333333333334,8184.860841423948,7674.55879180151,Bi_3,Bi OE,0.6975311593487374,-0.2205151789273394,-17.517610765710913,85,True,17500,30000
157,41.17437961099933,783.9738430583501,555.4788732394367,2002.0,1.3452951896980634,11329.244802146211,8338.097920858485,3502.3735747820256,Bi_3,Bi OE,-0.2183030145487056,-0.5960356995530478,-12.211356033606457,85,True,17500,30000
158,39.69911504424779,822.7451327433629,486.6513274336283,2145.0,1.4351017012851488,16615.90383480826,10607.559292035397,3735.5533923303833,Bi_3,Bi OE,-0.05178081504080456,-0.6856249648606729,-15.3053051936039,85,True,17500,30000
159,41.50526870389884,896.7191780821918,481.0158061116965,2344.0,1.386199428581886,20181.610115911484,10259.233403582719,3976.4531085353,Bi_3,Bi OE,-0.04946619217990378,-0.8399453124171821,-14.179825597531035,85,True,17500,30000
160,43.705580029368576,956.1758443465492,543.8755506607929,3766.0,1.4885911623171972,12493.301027900146,7495.456681350955,3128.340308370044,Bi_3,Bi OE,-0.21679891306877652,-0.9550410158955569,-11.235276473482841,85,True,17500,30000
161,42.67571884984026,81.02396166134186,558.2609158679446,2348.0,1.2396379047722768,13951.779020234291,5989.738019169329,27264.228966986157,Bi_3,Bi OE,-0.11192818777919655,0.863324834772733,-5.218786655579571,85,True,17500,30000
162,45.4468085106383,100.0127659574468,477.5078014184397,2543.0,1.2034994174178333,16377.858628841608,5996.283215130024,15340.639243498817,Bi_3,Bi OE,0.08792888237857088,0.8131319924144637,-4.142794136120784,85,True,17500,30000
163,43.407333333333334,133.86466666666666,523.7613333333334,1847.0,1.1695176390665438,10938.495333333334,7784.148666666667,36967.30933333333,Bi_3,Bi OE,-0.033774485067005644,0.7490532783833574,-5.557291310949587,85,True,17500,30000
164,43.826031746031745,164.0952380952381,399.0209523809524,1976.0,1.206350776176083,22497.911111111112,7698.6869841269845,34272.490793650795,Bi_3,Bi OE,0.2746214607808941,0.6697270821329602,-7.7631562165903105,85,True,17500,30000
165,41.79256965944273,169.25386996904024,864.124871001032,1190.0,1.1673221183589344,12613.704850361197,5564.3962848297215,11487.157894736842,Bi_3,Bi OE,-0.8942756146025924,0.7208509976354166,-0.9225566054047292,85,True,17500,30000
166,42.65017667844523,193.6492932862191,847.2526501766785,1380.0,1.2028722614414085,13490.226148409894,7134.308303886925,18489.893992932863,Bi_3,Bi OE,-0.855797511956478,0.667959106009944,-0.5772127399877718,85,True,17500,30000
167,43.963111467522054,274.93023255813955,341.2197273456295,1614.0,1.274508884674788,12396.706495589415,8593.498797113072,42279.345629510826,Bi_3,Bi OE,0.40191580777559954,0.43199978612626544,-9.591297042760168,85,True,17500,30000
