label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,pca_x,pca_y,pca_z,sample,condition,in_plane,inROI,TE,RFP
305,66.85038693035254,693.1994840928633,694.1203783319003,1791.0,1.455030746138914,1131.4153052450558,882.8443680137575,226.5597592433362,-0.7422962829884863,-0.7137318357033493,-12.168306079412133,sgBi_2,sgBi,True,True,False,True
315,66.18768545994065,374.4005934718101,706.0771513353116,1607.0,1.5803022608654742,1168.8694362017804,1431.313056379822,229.61498516320475,-0.8092096273121295,0.5573972558767006,-15.548064124711921,sgBi_2,sgBi,True,True,False,True
324,67.58477508650519,683.2110726643599,664.2517301038063,1831.0,1.8369220058272597,1125.4645328719723,911.3771626297578,222.70847750865053,-0.6153788884536899,-0.6724506315156018,-10.882648777689674,sgBi_2,sgBi,True,True,False,True
325,66.2704495210022,687.7361827560796,711.4834193072955,1707.0,1.5606589662084887,1116.1628592483419,856.6344878408254,341.8666175386883,-0.8166247280065679,-0.6927779601672581,-13.155823329317244,sgBi_2,sgBi,True,True,False,True
367,68.49360613810742,676.3231031543052,721.1125319693094,1568.0,1.5101401847266103,1127.012787723785,1069.1346973572038,328.62745098039215,-0.8584942754483332,-0.6476399180855776,-11.224175349273636,sgBi_2,sgBi,True,True,False,True
405,70.18409742120343,708.1661891117478,664.4290830945558,1878.0,1.7101973718742007,1103.3094555873924,1609.82664756447,460.1676217765043,-0.6151226660344333,-0.7719294390199309,-8.094713791827289,sgBi_2,sgBi,True,True,False,True
413,70.73320778405524,375.2881355932203,685.8549905838041,2340.0,1.8025636991882918,1150.053358443189,1469.6177024482108,475.64595103578154,-0.7232647843977543,0.5549502985506836,-10.571166069320277,sgBi_2,sgBi,True,True,False,True
414,72.13632958801499,374.3558052434457,701.5438202247191,1857.0,1.6051458012731612,1141.3116104868914,1841.805243445693,358.34082397003743,-0.7903999046416208,0.5579682685679618,-9.50584054144057,sgBi_2,sgBi,True,True,False,True
451,71.74722991689751,691.6862880886426,709.7139889196676,1952.0,1.6849508906894464,1196.3150969529086,1803.0990304709142,442.0581717451524,-0.8093693443051615,-0.7082879065656449,-7.612625998085321,sgBi_2,sgBi,True,True,False,True
461,72.82762557077625,359.3824200913242,685.5833333333334,1253.0,1.5429456633925434,1219.802511415525,1755.6004566210045,388.68607305936075,-0.7230896327568275,0.6184749248428314,-8.594569447003543,sgBi_2,sgBi,True,True,False,True
470,75.6078799249531,706.3719512195122,651.5079737335835,3252.0,1.6102919804210747,1019.4277673545967,1111.3334896810507,339.7889305816135,-0.5605529697920055,-0.7639981282289985,-2.4141961706958597,sgBi_2,sgBi,True,True,False,True
480,74.08231511254019,366.6861736334405,676.3459807073955,2092.0,1.7616115509014145,1138.365273311897,1961.0109324758841,987.1575562700965,-0.6834115063185748,0.5898146238990623,-7.089272908918225,sgBi_2,sgBi,True,True,True,True
482,73.85621387283237,363.61488439306356,655.960260115607,1871.0,1.9407987260517963,1037.3273121387283,1045.5447976878613,511.5491329479769,-0.5965358806517624,0.6030250314298484,-6.90997280451672,sgBi_2,sgBi,True,True,True,True
505,74.58933333333333,692.6493333333333,722.8413333333333,1223.0,1.7168817938904901,1269.64,1282.5853333333334,761.44,-0.8656068238298082,-0.7126664565782137,-5.04010564487659,sgBi_2,sgBi,True,True,True,True
